,submitted_at,filled_at,symbol,filled_qty,side,type,filled_avg_price,status,profit
0,2021-07-21 10:30:54,2021-07-21 10:30:54,C,150,buy,market,67.2,filled,
1,2021-07-22 10:31:39,2021-07-22 10:31:39,C,1,buy,market,66.89,filled,
2,2021-07-23 10:31:34,2021-07-23 10:31:34,C,1,sell,market,66.77,filled,
3,2021-07-26 10:31:34,2021-07-26 10:31:35,C,3,sell,market,67.16,filled,
4,2021-07-29 10:31:36,2021-07-29 10:31:36,C,147,sell,market,68.79,filled,233.49
5,2021-07-30 10:30:54,2021-07-30 10:30:55,C,147,buy,market,68.08,filled,
6,2021-08-02 10:31:39,2021-08-02 10:31:39,C,147,sell,market,68.68,filled,88.2
7,2021-08-13 10:31:22,2021-08-13 10:31:22,C,146,buy,market,73.19,filled,
8,2021-08-16 10:31:14,2021-08-16 10:31:15,C,146,sell,market,71.6,filled,-232.14
9,2021-07-19 10:31:33,2021-07-19 10:31:33,FCN,172,buy,market,133.74,filled,
10,2021-07-20 10:30:52,2021-07-20 10:30:53,FCN,172,sell,market,136.66,filled,502.24
11,2021-07-29 10:31:36,2021-07-29 10:31:36,FCN,95,buy,market,141.61,filled,
12,2021-07-30 10:30:55,2021-07-30 10:30:55,FCN,95,sell,market,143.42,filled,171.95
13,2021-08-02 10:31:39,2021-08-02 10:31:39,FCN,107,sell,market,145.57,filled,
14,2021-08-03 10:31:39,2021-08-03 10:31:39,FCN,41,sell,market,144.72,filled,
15,2021-08-04 10:30:53,2021-08-04 10:30:53,FCN,148,buy,market,143.91,filled,210.83
16,2021-08-05 10:31:29,2021-08-05 10:31:29,FCN,112,sell,market,144.6,filled,
17,2021-08-06 10:31:37,2021-08-06 10:31:37,FCN,112,buy,market,143.83,filled,86.24
18,2021-08-10 10:31:34,2021-08-10 10:31:34,FCN,96,buy,market,143.87,filled,
19,2021-08-11 10:31:36,2021-08-11 10:31:37,FCN,24,sell,market,143.85,filled,
20,2021-08-12 10:31:24,2021-08-12 10:31:25,FCN,25,buy,market,144.19,filled,
21,2021-07-21 10:30:54,2021-07-21 10:30:54,FOR,150,sell,market,20.92,filled,
22,2021-07-22 10:31:39,2021-07-22 10:31:39,FOR,1,sell,market,20.33,filled,
23,2021-07-23 10:31:34,2021-07-23 10:31:34,FOR,1,buy,market,20.86,filled,
24,2021-07-26 10:31:34,2021-07-26 10:31:35,FOR,3,buy,market,20.93,filled,
25,2021-07-29 10:31:36,2021-07-29 10:31:36,FOR,147,buy,market,21.17,filled,-37.31
26,2021-07-30 10:30:55,2021-07-30 10:30:55,FOR,147,sell,market,20.74,filled,
27,2021-08-02 10:31:39,2021-08-02 10:31:39,FOR,147,buy,market,20.75,filled,-1.47
28,2021-08-13 10:31:22,2021-08-13 10:31:22,FOR,146,sell,market,20.4,filled,
29,2021-08-16 10:31:14,2021-08-16 10:31:15,FOR,146,buy,market,20.74,filled,-49.64
30,2021-07-19 10:31:33,2021-07-19 10:31:33,MOV,158,buy,market,28.77,filled,
31,2021-07-20 10:30:52,2021-07-20 10:30:53,MOV,152,sell,market,28.47,filled,
32,2021-07-21 10:30:54,2021-07-21 10:30:54,MOV,4,sell,market,29.58,filled,
33,2021-07-22 10:31:39,2021-07-22 10:31:39,MOV,1,buy,market,29.14,filled,
34,2021-07-23 10:31:34,2021-07-23 10:31:34,MOV,2,sell,market,29.26,filled,
35,2021-07-26 10:31:34,2021-07-26 10:31:35,MOV,2,sell,market,29.95,filled,
36,2021-07-27 10:31:32,2021-07-27 10:31:33,MOV,1,sell,market,29.71,filled,
37,2021-07-29 10:31:36,2021-07-29 10:31:36,MOV,2,buy,market,30.04,filled,-40.99
38,2021-07-30 10:30:55,2021-07-30 10:30:55,MOV,30,sell,market,30.65,filled,
